Time, Lateral Acceleration, Lateral Velocity, Yaw Rate, FyF, FyR, FzF, FzR, aSlipF, aSlipR
0.19, 4.9988, -0.0504, 0.1616, 2066.8865, 2182.4480, 4463.3230, 4725.8714, -0.6861, -0.6861
0.19, 5.0042, -0.0508, 0.1616, 2068.8318, 2185.1225, 4463.3230, 4725.8714, -0.6867, -0.6867
0.19, 5.0096, -0.0512, 0.1616, 2070.7564, 2187.7537, 4463.3230, 4725.8714, -0.6874, -0.6874
0.19, 5.0148, -0.0516, 0.1616, 2072.6604, 2190.3424, 4463.3230, 4725.8714, -0.6880, -0.6880
0.19, 5.0201, -0.0519, 0.1616, 2074.5438, 2192.8891, 4463.3230, 4725.8714, -0.6886, -0.6886
0.19, 5.0252, -0.0523, 0.1616, 2076.4067, 2195.3945, 4463.3230, 4725.8714, -0.6893, -0.6893
0.20, 5.0303, -0.0526, 0.1616, 2078.2491, 2197.8591, 4463.3230, 4725.8714, -0.6899, -0.6899
0.20, 5.0353, -0.0530, 0.1616, 2080.0712, 2200.2835, 4463.3230, 4725.8714, -0.6905, -0.6905
0.20, 5.0402, -0.0533, 0.1616, 2081.8730, 2202.6684, 4463.3230, 4725.8714, -0.6911, -0.6911
0.20, 5.0450, -0.0537, 0.1616, 2083.6546, 2205.0144, 4463.3230, 4725.8714, -0.6917, -0.6917
0.20, 5.0498, -0.0540, 0.1616, 2085.4161, 2207.3219, 4463.3230, 4725.8714, -0.6922, -0.6922
0.20, 5.0545, -0.0544, 0.1616, 2087.1575, 2209.5916, 4463.3230, 4725.8714, -0.6928, -0.6928
0.20, 5.0592, -0.0547, 0.1616, 2088.8790, 2211.8241, 4463.3230, 4725.8714, -0.6934, -0.6934
0.20, 5.0638, -0.0550, 0.1616, 2090.5806, 2214.0199, 4463.3230, 4725.8714, -0.6940, -0.6940
0.20, 5.0683, -0.0553, 0.1616, 2092.2624, 2216.1796, 4463.3230, 4725.8714, -0.6945, -0.6945
0.20, 5.0728, -0.0556, 0.1616, 2093.9247, 2218.3036, 4463.3230, 4725.8714, -0.6951, -0.6951
0.21, 5.0771, -0.0559, 0.1616, 2095.5674, 2220.3926, 4463.3230, 4725.8714, -0.6956, -0.6956
0.21, 5.0815, -0.0563, 0.1616, 2097.1907, 2222.4470, 4463.3230, 4725.8714, -0.6962, -0.6962
0.21, 5.0857, -0.0566, 0.1616, 2098.7946, 2224.4675, 4463.3230, 4725.8714, -0.6967, -0.6967
0.21, 5.0899, -0.0568, 0.1616, 2100.3794, 2226.4544, 4463.3230, 4725.8714, -0.6972, -0.6972
0.21, 5.0941, -0.0571, 0.1616, 2101.9451, 2228.4083, 4463.3230, 4725.8714, -0.6977, -0.6977
0.21, 5.0982, -0.0574, 0.1616, 2103.4919, 2230.3298, 4463.3230, 4725.8714, -0.6982, -0.6982
0.21, 5.1022, -0.0577, 0.1616, 2105.0199, 2232.2192, 4463.3230, 4725.8714, -0.6988, -0.6988
0.21, 5.1061, -0.0580, 0.1616, 2106.5292, 2234.0772, 4463.3230, 4725.8714, -0.6993, -0.6993
0.21, 5.1100, -0.0583, 0.1616, 2108.0199, 2235.9041, 4463.3230, 4725.8714, -0.6997, -0.6997
0.21, 5.1139, -0.0585, 0.1616, 2109.4922, 2237.7005, 4463.3230, 4725.8714, -0.7002, -0.7002
0.22, 5.1177, -0.0588, 0.1616, 2110.9462, 2239.4669, 4463.3230, 4725.8714, -0.7007, -0.7007
0.22, 5.1214, -0.0591, 0.1616, 2112.3821, 2241.2036, 4463.3230, 4725.8714, -0.7012, -0.7012
0.22, 5.1251, -0.0593, 0.1615, 2113.7999, 2242.9111, 4463.3230, 4725.8714, -0.7017, -0.7017
0.22, 5.1287, -0.0596, 0.1615, 2115.1999, 2244.5900, 4463.3230, 4725.8714, -0.7021, -0.7021
0.22, 5.1323, -0.0598, 0.1615, 2116.5821, 2246.2406, 4463.3230, 4725.8714, -0.7026, -0.7026
0.22, 5.1358, -0.0601, 0.1615, 2117.9468, 2247.8634, 4463.3230, 4725.8714, -0.7030, -0.7030
0.22, 5.1392, -0.0603, 0.1615, 2119.2940, 2249.4587, 4463.3230, 4725.8714, -0.7035, -0.7035
